Name,Diet,prep_time,cook_time,flavor_profile,course,state,region
Bisi bele bath,vegetarian,30,45,spicy,main course,Karnataka,South
Currivepillai sadam ,vegetarian,10,20,spicy,main course,Tamil Nadu,South
Idiappam,vegetarian,120,30,spicy,snack,Tamil Nadu,South
Keerai kootu,vegetarian,20,30,spicy,main course,Tamil Nadu,South
Keerai sadam,vegetarian,10,20,spicy,main course,Tamil Nadu,South
Keerai poriyal,vegetarian,20,30,spicy,main course,Tamil Nadu,South
Beef Fry,non vegetarian,10,60,spicy,main course,Kerala,South
Kootu,vegetarian,10,15,spicy,main course,Tamil Nadu,South
Kos kootu,vegetarian,10,20,spicy,main course,Tamil Nadu,South
Koshambri,vegetarian,10,20,spicy,main course,Karnataka,South
Kothamali sadam,vegetarian,10,20,spicy,main course,Tamil Nadu,South
Kuzhakkattai,vegetarian,10,90,spicy,main course,Tamil Nadu,South
Kuzhambu,vegetarian,5,30,spicy,main course,Tamil Nadu,South
Papadum,vegetarian,5,5,spicy,snack,Kerala,South
Pesarattu,vegetarian,120,20,spicy,snack,Andhra Pradesh,South
Chicken Varuval,non vegetarian,10,35,spicy,main course,Tamil Nadu,South
Amti,vegetarian,10,45,spicy,main course,Maharashtra,West
Zunka,vegetarian,10,25,spicy,main course,Maharashtra,West
Saath,vegetarian,20,40,spicy,main course,Gujarat,West
Bajri no rotlo,vegetarian,10,10,spicy,main course,Gujarat,West
Coconut vadi,vegetarian,20,30,sweet,dessert,Maharashtra,West
Chakali,vegetarian,10,40,spicy,snack,Maharashtra,West
Chevdo,vegetarian,20,30,spicy,snack,Gujarat,West
Chorafali,vegetarian,5,15,spicy,snack,Gujarat,West
Daal Dhokli,vegetarian,20,30,spicy,main course,Gujarat,West
Kutchi dabeli,vegetarian,30,10,spicy,snack,Gujarat,West
Dhokla,vegetarian,10,20,spicy,snack,Gujarat,West
Dudhi halwa,vegetarian,15,30,sweet,dessert,Gujarat,West
Gatta curry,vegetarian,10,20,spicy,main course,Rajasthan,West
Gud papdi,vegetarian,10,20,sweet,dessert,Gujarat,West
Handwo,vegetarian,20,30,spicy,snack,Gujarat,West
Jeera Aloo,vegetarian,10,30,spicy,main course,Gujarat,West
Keri no ras,vegetarian,10,10,sour,main course,Gujarat,West
Khakhra,vegetarian,20,40,spicy,snack,Gujarat,West
Khandvi,vegetarian,20,45,spicy,snack,Gujarat,West
Kombdi vade,vegetarian,10,25,spicy,snack,Maharashtra,West
Laapsi,vegetarian,10,40,spicy,main course,Madhya Pradesh,Central
Koshimbir,vegetarian,10,10,spicy,main course,Maharashtra,West
Methi na Gota,vegetarian,15,30,bitter,main course,Gujarat,West
Mohanthal,vegetarian,5,45,sweet,dessert,Gujarat,West
Muthiya,vegetarian,15,30,bitter,snack,Gujarat,West
Patra,vegetarian,10,40,spicy,snack,Gujarat,West
Pav Bhaji,vegetarian,20,40,spicy,main course,Maharashtra,West
Puri Bhaji,vegetarian,10,30,spicy,main course,Maharashtra,West
Sabudana Khichadi,vegetarian,70,30,spicy,snack,Maharashtra,West
Sev khamani,vegetarian,20,30,spicy,main course,Gujarat,West
Sev tameta,vegetarian,20,30,spicy,main course,Gujarat,West
Namakpara,vegetarian,10,35,spicy,snack,Gujarat,West
Sukhdi,vegetarian,10,20,sweet,dessert,Maharashtra,West
Surnoli,vegetarian,60,10,spicy,snack,Maharashtra,West
Thalipeeth,vegetarian,25,30,spicy,main course,Maharashtra,West
Undhiyu,vegetarian,25,60,spicy,main course,Gujarat,West
Veg Kolhapuri,vegetarian,20,30,spicy,main course,Maharashtra,West
Vindaloo,non vegetarian,10,40,spicy,main course,Goa,West
Lilva Kachori,vegetarian,30,6,spicy,snack,Gujarat,West
Khichu,vegetarian,5,10,spicy,snack,Gujarat,West
Thepla,vegetarian,15,30,spicy,snack,Gujarat,West
Khaman,vegetarian,10,20,spicy,snack,Gujarat,West
Turiya Patra Vatana sabji,vegetarian,35,40,spicy,main course,Gujarat,West
Churma Ladoo,vegetarian,12,40,sweet,dessert,Rajasthan,West
Gheela Pitha,vegetarian,10,30,sweet,dessert,Assam,North East
Alu Pitika,non vegetarian,5,20,spicy,main course,Assam,North East
Masor tenga,non vegetarian,15,25,spicy,main course,Assam,North East
Chingri malai curry,non vegetarian,10,40,spicy,main course,West Bengal,East
Goja,vegetarian,20,60,sweet,dessert,West Bengal,East
Haq Maas,non vegetarian,20,40,spicy,main course,Assam,North East
